#name	icon	title	link	text
one	spa-bowl	village cuisine	food	Simple vegetarian food made in an open kitchen with farm fresh products.
two	spa-plant3	our history	relief-foundation	We, Relief Foundation have been engaging with children, youth and families in this region since 2014.
tre	spa-candle2	simple rural setting	our/ethos	Enjoy the beauty of Narasingapuram where the breeze beckons and the birds call out.
for	spa-flowers	connect with nature	the/village-experience	Multiple ways to connect with nature, both on and off campus.
fiv	spa-positive	membership	why-join	A place for much healing - outward and inward - come be a "friend" to all.
six	spa-candle	family time	your/self-and-family-time	Where time slows, perspectives change and we leave with higher expectations of ourselves.
